"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",171,35,58,92,88,145,125,112,101,71,46,33,28,205,204,293,255,219,146,105,78.6,97.7,105,161,182,9.5,25,10.5,25.7,12.1,26.3,19.3,33.7,28.3,59.1,12.8,1986,16.2,26,117,468,1100,21,103,94,317,439,432,338,476,424,370,203,166,94,102,5560,3230,4230,1940,2310,1050,790,495,492,366,154.416438356164
"Model",179,27.2,40.1,89.8,104,159,132,122,126,83.8,47,37.6,28.6,202,219,315,279,223,188,112,87.2,98.3,106,161,164,5.97,17.2,6.03,18.3,6.19,19.7,7.68,28,21.6,60.7,7.79,1986,8.8,21.6,122,480,1170,20.8,114,85.1,395,351,291,295,632,471,416,193,138,99.5,79.8,5890,3110,3210,1600,1770,1040,784,623,508,333,139.728268765961
"Pct. Error",4.68,-22.3,-30.9,-2.39,18.2,9.66,5.6,8.93,24.8,18,2.17,13.9,2.14,-1.46,7.35,7.51,9.41,1.83,28.8,6.67,10.9,0.614,0.952,0,-9.89,-37.2,-31.2,-42.6,-28.8,-48.8,-25.1,-60.2,-16.9,-23.7,2.71,-39.1,0,-45.7,-16.9,4.27,2.56,6.36,-0.952,10.7,-9.47,24.6,-20,-32.6,-12.7,32.8,11.1,12.4,-4.93,-16.9,5.85,-21.8,5.94,-3.72,-24.1,-17.5,-23.4,-0.952,-0.759,25.9,3.25,-9.02,-9.51
