"","Model"
"Overall Mean Flow",111
"Jan. Mean Flow",161
"Feb. Mean Flow",188
"Mar. Mean Flow",218
"Apr. Mean Flow",158
"May Mean Flow",88.4
"Jun. Mean Flow",51.8
"Jul. Mean Flow",36.5
"Aug. Mean Flow",67.7
"Sep. Mean Flow",137
"Oct. Mean Flow",63.2
"Nov. Mean Flow",67.6
"Dec. Mean Flow",104
