"","Model"
"1% Non-Exceedance",3.81
"5% Non-Exceedance",8.03
"50% Non-Exceedance",62.4
"95% Non-Exceedance",410
"99% Non-Exceedance",1380
"Sept. 10% Non-Exceedance",8.02
