"","Model"
"Jan. Low Flow",275
"Feb. Low Flow",367
"Mar. Low Flow",549
"Apr. Low Flow",658
"May Low Flow",967
"Jun. Low Flow",952
"Jul. Low Flow",812
"Aug. Low Flow",699
"Sep. Low Flow",558
"Oct. Low Flow",448
"Nov. Low Flow",387
"Dec. Low Flow",311
