"","Model"
"Min. 1 Day Min",1.75
"Med. 1 Day Min",10.7
"Min. 3 Day Min",1.89
"Med. 3 Day Min",11.4
"Min. 7 Day Min",2.21
"Med. 7 Day Min",13.7
"Min. 30 Day Min",4.25
"Med. 30 Day Min",19.3
"Min. 90 Day Min",13.8
"Med. 90 Day Min",53.8
"7Q10",3.56
"Year of 90-Day Low Flow",2002
"Drought Year Mean",81.6342118179488
"Mean Baseflow",216
