"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",1700,440,541,750,831,958,1180,1180,963,658,483,450,437,2190,2210,2810,2510,1890,1350,856,807,1650,1000,1610,1580,196,330,201,356,208,366,237,444,273,623,257,2002,270,345,1020,4980,10900,362,978,940,3730,4360,3670,2820,7050,5170,3090,1760,1520,1040,856,98200,16500,63300,11400,34100,7710,10900,4350,7420,2780,493.197260273973
"Model",1710,331,490,761,898,1180,1230,1140,1060,749,493,419,285,1910,2430,2930,2420,1850,1430,1050,877,1660,1060,1530,1440,97.5,229,98.4,233,99.1,245,120,333,208,595,128,1999,135,226,1120,5030,10700,224,1050,1170,2870,2120,4530,2550,6990,4840,2450,2050,1680,1290,890,72600,15300,57000,11300,29700,7710,9230,4120,6740,2710,469.988954595545
"Pct. Error",0.588,-24.8,-9.43,1.47,8.06,23.2,4.24,-3.39,10.1,13.8,2.07,-6.89,-34.8,-12.8,9.95,4.27,-3.59,-2.12,5.93,22.7,8.67,0.606,6,-4.97,-8.86,-50.3,-30.6,-51,-34.6,-52.4,-33.1,-49.4,-25,-23.8,-4.49,-50.2,100,-50,-34.5,9.8,1,-1.83,-38.1,7.36,24.5,-23.1,-51.4,23.4,-9.57,-0.851,-6.38,-20.7,16.5,10.5,24,3.97,-26.1,-7.27,-9.95,-0.877,-12.9,0,-15.3,-5.29,-9.16,-2.52,-4.71
