"","Model"
"Overall Mean Flow",2910
"Jan. Mean Flow",3640
"Feb. Mean Flow",4420
"Mar. Mean Flow",5290
"Apr. Mean Flow",4400
"May Mean Flow",3010
"Jun. Mean Flow",2480
"Jul. Mean Flow",1530
"Aug. Mean Flow",1330
"Sep. Mean Flow",2300
"Oct. Mean Flow",1860
"Nov. Mean Flow",2200
"Dec. Mean Flow",2590
