"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",378,54,99,190,221,271,251,214,132,71.6,48.5,39.4,25,525,546,658,521,387,216,222,213,222,181,380,506,11,17,12.7,18.3,13.4,20.4,18.7,30.9,35.8,101,14.2,1993,17,29,218,1330,2930,20,168,485,1280,1830,1670,1600,1810,1170,882,485,916,280,289,7680,3650,7280,3270,4770,2580,1940,1140,1290,724,465.068493150685
"Model",369,26.7,41.6,132,212,253,199,180,119,59,21,16.9,7.09,547,555,684,470,355,214,191,167,285,180,376,451,0,1.82,0,2.87,-1.91e-13,4.9,2.1,17.1,14.6,74,0.0028,1993,0.0769,10.8,195,1330,3260,2.82,152,232,1310,1530,1860,1180,1840,1270,818,399,363,159,138,19300,6830,10100,5380,6750,3360,2140,1200,1380,736,511.593117497819
"Pct. Error",-2.38,-50.6,-58,-30.5,-4.07,-6.64,-20.7,-15.9,-9.85,-17.6,-56.7,-57.1,-71.6,4.19,1.65,3.95,-9.79,-8.27,-0.926,-14,-21.6,28.4,-0.552,-1.05,-10.9,-100,-89.3,-100,-84.3,-100,-76,-88.8,-44.7,-59.2,-26.7,-100,0,-99.5,-62.8,-10.6,0,11.3,-85.9,-9.52,-52.2,2.34,-16.4,11.4,-26.2,1.66,8.55,-7.26,-17.7,-60.4,-43.2,-52.2,151,87.1,38.7,64.5,41.5,30.2,10.3,5.26,6.98,1.66,10
