"","Model"
"1% Non-Exceedance",0.000248
"5% Non-Exceedance",0.0773
"50% Non-Exceedance",9.66
"95% Non-Exceedance",93.5
"99% Non-Exceedance",258
"Sept. 10% Non-Exceedance",0.0791
