"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0.07,0.786,1020
"Med. 1 Day Min",8.5,6.64,-21.9
"Min. 3 Day Min",0.0867,0.945,990
"Med. 3 Day Min",8.5,7.03,-17.3
"Min. 7 Day Min",0.119,1.26,959
"Med. 7 Day Min",9.43,10.2,8.17
"Min. 30 Day Min",0.638,3.95,519
"Med. 30 Day Min",16,24.5,53.1
"Min. 90 Day Min",1.36,15.7,1050
"Med. 90 Day Min",34.4,56.9,65.4
"7Q10",1.49,1.56,4.7
"Year of 90-Day Low Flow",2002,1999,100
"Drought Year Mean",22.4752602739726,49.9757685699672,122
"Mean Baseflow",73.9,86.3,16.8
