"","USGS Gage","Model","Pct. Error"
"Jan. Low Flow",25,18.5,26
"Feb. Low Flow",30,29.9,0.333
"Mar. Low Flow",42,43.6,-3.81
"Apr. Low Flow",47,55.3,-17.7
"May Low Flow",77,66.6,13.5
"Jun. Low Flow",92,89.2,3.04
"Jul. Low Flow",91,66.1,27.4
"Aug. Low Flow",67,46.6,30.4
"Sep. Low Flow",47,33.2,29.4
"Oct. Low Flow",35.9,24.3,32.3
"Nov. Low Flow",31,25.8,16.8
"Dec. Low Flow",25,21.8,12.8
