"","Model"
"Jan. Low Flow",11.2
"Feb. Low Flow",24.2
"Mar. Low Flow",29
"Apr. Low Flow",43.2
"May Low Flow",64.3
"Jun. Low Flow",60.3
"Jul. Low Flow",48
"Aug. Low Flow",30.6
"Sep. Low Flow",21.4
"Oct. Low Flow",16.3
"Nov. Low Flow",13
"Dec. Low Flow",12.5
