"","Model"
"Overall Mean Flow",100
"Jan. Mean Flow",131
"Feb. Mean Flow",161
"Mar. Mean Flow",208
"Apr. Mean Flow",150
"May Mean Flow",92.5
"Jun. Mean Flow",66.7
"Jul. Mean Flow",37.2
"Aug. Mean Flow",50.6
"Sep. Mean Flow",87.1
"Oct. Mean Flow",56
"Nov. Mean Flow",80.5
"Dec. Mean Flow",89.2
