"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0,0,NA
"Med. 1 Day Min",0.77,5.17,-571
"Min. 3 Day Min",0.167,-8.96e-13,100
"Med. 3 Day Min",1.11,7.38,-565
"Min. 7 Day Min",0.256,0.0491,80.8
"Med. 7 Day Min",1.59,12.4,-680
"Min. 30 Day Min",0.882,3.92,-344
"Med. 30 Day Min",3.51,34.6,-886
"Min. 90 Day Min",5.85,30.3,-418
"Med. 90 Day Min",65.6,131,-99.7
"7Q10",0.437,0.408,6.64
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",173.790904109589,226.626293188152,-30.4
"Mean Baseflow",323,318,1.55
