"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",715,226,210,227,250,314,552,398,336,327,324,313,286,831,1020,1400,1120,971,617,391,359,422,311,576,588,156,206,159,208,164,210,176,225,198,303,176,1995,186,207,367,2540,5050,268,387,319,619,1440,2980,2480,3900,2850,2840,687,507,414,377,15100,5650,9770,4870,6830,3930,3600,2050,2240,1290,525.750684931507
"Model",660,158,154,195,257,334,607,329,277,247,255,251,205,721,1060,1460,1050,749,524,339,326,413,368,448,490,81.3,142,81.9,144,83.1,148,89.4,164,117,216,107,1999,112,152,309,2160,3990,190,428,237,461,609,1190,1330,2900,2360,1400,854,410,342,345,13500,4650,8210,3650,6130,2910,3880,1870,2770,1310,405.869818908404
"Pct. Error",-7.69,-30.1,-26.7,-14.1,2.8,6.37,9.96,-17.3,-17.6,-24.5,-21.3,-19.8,-28.3,-13.2,3.92,4.29,-6.25,-22.9,-15.1,-13.3,-9.19,-2.13,18.3,-22.2,-16.7,-47.9,-31.1,-48.5,-30.8,-49.3,-29.5,-49.2,-27.1,-40.9,-28.7,-39.2,100,-39.8,-26.6,-15.8,-15,-21,-29.1,10.6,-25.7,-25.5,-57.7,-60.1,-46.4,-25.6,-17.2,-50.7,24.3,-19.1,-17.4,-8.49,-10.6,-17.7,-16,-25.1,-10.2,-26,7.78,-8.78,23.7,1.55,-22.8
