"","USGS Gage","Model","Pct. Error"
"Max. 1 Day Max",7640,13200,72.8
"Med. 1 Day Max",3120,2840,-8.97
"Max. 3 Day Max",4810,5980,24.3
"Med. 3 Day Max",1730,1720,-0.578
"Max. 7 Day Max",2920,2850,-2.4
"Med. 7 Day Max",1120,1060,-5.36
"Max. 30 Day Max",1070,1390,29.9
"Med. 30 Day Max",456,486,6.58
"Max. 90 Day Max",679,901,32.7
"Med. 90 Day Max",341,391,14.7
