"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",7.9,3.81,-51.8
"Med. 1 Day Min",24,14.4,-40
"Min. 3 Day Min",8.7,4,-54
"Med. 3 Day Min",25.3,15.1,-40.3
"Min. 7 Day Min",9.74,4.42,-54.6
"Med. 7 Day Min",27.6,16.6,-39.9
"Min. 30 Day Min",13.4,9.08,-32.2
"Med. 30 Day Min",36.9,27.6,-25.2
"Min. 90 Day Min",27.1,16,-41
"Med. 90 Day Min",73.9,46.1,-37.6
"7Q10",11.5,6.78,-41
"Year of 90-Day Low Flow",1986,1986,0
"Drought Year Mean",177.002191780822,162.924954279555,-7.95
"Mean Baseflow",102,102,0
