"","Model"
"Jan. Low Flow",89.2
"Feb. Low Flow",319
"Mar. Low Flow",460
"Apr. Low Flow",679
"May Low Flow",1110
"Jun. Low Flow",812
"Jul. Low Flow",547
"Aug. Low Flow",287
"Sep. Low Flow",189
"Oct. Low Flow",101
"Nov. Low Flow",116
"Dec. Low Flow",85.5
