"","Model"
"Overall Mean Flow",1410
"Jan. Mean Flow",1960
"Feb. Mean Flow",2390
"Mar. Mean Flow",2880
"Apr. Mean Flow",2070
"May Mean Flow",1180
"Jun. Mean Flow",687
"Jul. Mean Flow",467
"Aug. Mean Flow",816
"Sep. Mean Flow",1560
"Oct. Mean Flow",725
"Nov. Mean Flow",977
"Dec. Mean Flow",1330
